,Word,NumberOfMeanings,POS,Term1,Term2,Term3,Term4,Term5,Term6,Unnamed: 9
0,a,7,(noun),angstrom,angstrom unit,A,metric linear unit (generic term),,,
1,a,7,(noun),vitamin A,antiophthalmic factor,axerophthol,A,fat-soluble vitamin (generic term),,
2,a,7,(noun),deoxyadenosine monophosphate,A,nucleotide (generic term),,,,
3,a,7,(noun),adenine,A,purine (generic term),,,,
4,a,7,(noun),ampere,amp,A,current unit (generic term),,,
5,a,7,(noun),A,letter a,letter (generic term),letter of the alphabet (generic term),alphabetic character (generic term),,
6,a,7,(noun),A,type A,group A,blood group (generic term),blood type (generic term),,
7,abandon,7,(noun),wantonness,unconstraint,unrestraint (generic term),,,,
8,abandon,7,(noun),wildness,passion (generic term),passionateness (generic term),,,,
9,abandon,7,(verb),discard (generic term),fling (generic term),toss (generic term),toss out (generic term),toss away (generic term),chuck out (generic term),
10,abandon,7,(verb),give up,,,,,,
11,abandon,7,(verb),give up,,,,,,
12,abandon,7,(verb),vacate,empty,leave (generic term),go forth (generic term),go away (generic term),,
13,abandon,7,(verb),forsake,desolate,desert,leave (generic term),,,
14,ability,2,(noun),quality (generic term),inability (antonym),,,,,
15,ability,2,(noun),power,cognition (generic term),knowledge (generic term),noesis (generic term),inability (antonym),,
16,able,4,(adj),unable (antonym),,,,,,
17,able,4,(adj),capable,competent (similar term),,,,,
18,able,4,(adj),capable (similar term),,,,,,
19,able,4,(adj),able-bodied,fit (similar term),healthy (similar term),,,,
20,abortion,2,(noun),termination (generic term),ending (generic term),conclusion (generic term),,,,
21,abortion,2,(noun),miscarriage,failure (generic term),,,,,
22,about,7,(adj),astir,active (similar term),,,,,
23,about,7,(adv),approximately,close to,just about,some,roughly,more or less,
24,about,7,(adv),around,,,,,,
25,about,7,(adv),around,,,,,,
26,about,7,(adv),around,,,,,,
27,about,7,(adv),around,,,,,,
28,about,7,(adv),just about,almost,most,all but,nearly,near,
29,above,4,(adj),preceding (similar term),,,,,,
30,above,4,(noun),section (generic term),subdivision (generic term),,,,,
31,above,4,(adv),supra,below (antonym),,,,,
32,above,4,(adv),higher up,in a higher place,to a higher place,below (antonym),,,
33,abroad,3,(adj),overseas,foreign (similar term),,,,,
34,abroad,3,(adv),afield,,,,,,
35,abroad,3,(adv),overseas,beyond the sea,over the sea,,,,
36,absence,4,(noun),lack (generic term),deficiency (generic term),want (generic term),presence (antonym),,,
37,absence,4,(noun),nonattendance (generic term),presence (antonym),,,,,
38,absence,4,(noun),time interval (generic term),interval (generic term),,,,,
39,absence,4,(noun),petit mal epilepsy,epilepsy (generic term),,,,,
40,absolute,7,(adj),dead (similar term),utter (similar term),direct (similar term),implicit (similar term),unquestioning (similar term),independent (similar term),
41,absolute,7,(adj),downright,out-and-out,rank,right-down,sheer,complete (similar term),
42,absolute,7,(adj),arbitrary (similar term),,,,,,
43,absolute,7,(adj),conclusive,unequivocal (similar term),univocal (similar term),unambiguous (similar term),,,
44,absolute,7,(adj),total,unconditioned,unconditional (similar term),,,,
45,absolute,7,(adj),infrangible,inviolable,inalienable (similar term),unalienable (similar term),,,
46,absolute,7,(noun),abstraction (generic term),abstract (generic term),,,,,
47,absolutely,1,(adv),perfectly,utterly,dead,,,,
48,absorb,9,(verb),sorb (generic term),take up (generic term),,,,,
49,absorb,9,(verb),assimilate,ingest,take in,learn (generic term),larn (generic term),acquire (generic term),
50,absorb,9,(verb),take over,fund (generic term),,,,,
51,absorb,9,(verb),suck,imbibe,soak up,sop up,suck up,draw,
52,absorb,9,(verb),blend (generic term),flux (generic term),mix (generic term),conflate (generic term),commingle (generic term),immix (generic term),
53,absorb,9,(verb),take in,emit (antonym),,,,,
54,absorb,9,(verb),steep,immerse,engulf,plunge,engross,soak up,
55,absorb,9,(verb),receive (generic term),take in (generic term),invite (generic term),,,,
56,absorb,9,(verb),engross,engage,occupy,interest (generic term),,,
57,abuse,7,(noun),maltreatment,ill-treatment,ill-usage,mistreatment (generic term),,,
58,abuse,7,(noun),insult,revilement,contumely,vilification,disrespect (generic term),discourtesy (generic term),
59,abuse,7,(noun),misuse,use (generic term),usage (generic term),utilization (generic term),utilisation (generic term),employment (generic term),
60,abuse,7,(verb),mistreat,maltreat,ill-use,step,ill-treat,treat (generic term),
61,abuse,7,(verb),pervert,misuse,use (generic term),expend (generic term),,,
62,abuse,7,(verb),clapperclaw,blackguard,shout,attack (generic term),round (generic term),assail (generic term),
63,abuse,7,(verb),use (generic term),expend (generic term),,,,,
64,academic,4,(adj),world,domain (related term),,,,,
65,academic,4,(adj),theoretical (similar term),,,,,,
66,academic,4,(adj),donnish,pedantic,scholarly (similar term),,,,
67,academic,4,(noun),academician,faculty member,educator (generic term),pedagogue (generic term),pedagog (generic term),,
68,accept,11,(verb),evaluate (generic term),pass judgment (generic term),judge (generic term),reject (antonym),,,
69,accept,11,(verb),take,have,get (generic term),acquire (generic term),take over (related term),take over (related term),
70,accept,11,(verb),consent,go for,react (generic term),respond (generic term),refuse (antonym),,
71,accept,11,(verb),react (generic term),respond (generic term),,,,,
72,accept,11,(verb),admit,take,take on,accept (generic term),take (generic term),have (generic term),
73,accept,11,(verb),bear,take over,assume,take (generic term),,,
74,accept,11,(verb),live with,swallow,digest (generic term),endure (generic term),stick out (generic term),stomach (generic term),
75,accept,11,(verb),take,be (generic term),,,,,
76,accept,11,(verb),receive (generic term),have (generic term),,,,,
77,accept,11,(verb),take,,,,,,
78,accept,11,(verb),react (generic term),respond (generic term),,,,,
79,access,8,(noun),entree,accession,admittance,right (generic term),,,
80,access,8,(noun),right (generic term),,,,,,
81,access,8,(noun),approach,way (generic term),,,,,
82,access,8,(noun),access code,code (generic term),,,,,
83,access,8,(noun),memory access,operation (generic term),,,,,
84,access,8,(noun),approach (generic term),approaching (generic term),coming (generic term),,,,
85,access,8,(verb),recover (generic term),retrieve (generic term),find (generic term),regain (generic term),,,
86,access,8,(verb),get at,reach (generic term),make (generic term),attain (generic term),hit (generic term),arrive at (generic term),
87,accident,2,(noun),mishap (generic term),misadventure (generic term),mischance (generic term),,,,
88,accident,2,(noun),fortuity,chance event,happening (generic term),occurrence (generic term),occurrent (generic term),natural event (generic term),
89,accompany,4,(verb),attach to,come with,go with,,,,
90,accompany,4,(verb),travel (generic term),go (generic term),move (generic term),locomote (generic term),,,
91,accompany,4,(verb),play along,follow,play (generic term),,,,
92,accompany,4,(verb),company,companion,keep company,consort (generic term),associate (generic term),affiliate (generic term),
93,accomplish,2,(verb),carry through,execute,carry out,action,fulfill,fulfil,
94,accomplish,2,(verb),achieve,attain,reach,succeed (generic term),win (generic term),come through (generic term),
95,according,2,(adj),reported (similar term),,,,,,
96,according,2,(adj),accordant (similar term),,,,,,
97,account,14,(noun),business relationship,relationship (generic term),,,,,
98,account,14,(noun),report,informing (generic term),making known (generic term),,,,
99,account,14,(noun),history,chronicle,story,record (generic term),,,
100,account,14,(noun),report,news report,story,write up,news (generic term),,
101,account,14,(noun),accounting,account statement,statement (generic term),financial statement (generic term),,,
102,account,14,(noun),explanation,statement (generic term),,,,,
103,account,14,(noun),bill,invoice,statement (generic term),financial statement (generic term),,,
104,account,14,(noun),score,reason (generic term),ground (generic term),,,,
105,account,14,(noun),importance (generic term),,,,,,
106,account,14,(noun),profit (generic term),gain (generic term),,,,,
107,account,14,(verb),be (generic term),,,,,,
108,account,14,(verb),calculate,,,,,,
109,account,14,(verb),report,describe,inform (generic term),,,,
110,account,14,(verb),answer for,declare (generic term),,,,,
111,accurate,2,(adj),close (similar term),faithful (similar term),dead-on (similar term),high-fidelity (similar term),hi-fi (similar term),surgical (similar term),
112,accurate,2,(adj),exact,precise,correct (similar term),right (similar term),,,
113,accuse,2,(verb),impeach,incriminate,criminate,charge (generic term),accuse (generic term),,
114,accuse,2,(verb),charge,,,,,,
115,achieve,1,(verb),accomplish,attain,reach,succeed (generic term),win (generic term),come through (generic term),
116,achievement,1,(noun),accomplishment,action (generic term),,,,,
117,acid,5,(adj),acerb,acerbic,acrid,bitter,blistering,caustic,
118,acid,5,(adj),acidic,acidulent,acidulous,sour (similar term),,,
119,acid,5,(adj),acidic (similar term),,,,,,
120,acid,5,(noun),compound (generic term),chemical compound (generic term),,,,,
121,acid,5,(noun),back breaker,battery-acid,dose,dot,Elvis,loony toons,
122,acknowledge,6,(verb),admit,declare (generic term),adjudge (generic term),hold (generic term),deny (antonym),,
123,acknowledge,6,(verb),receipt,communicate (generic term),pass on (generic term),pass (generic term),pass along (generic term),put across (generic term),
124,acknowledge,6,(verb),notice,react (generic term),respond (generic term),,,,
125,acknowledge,6,(verb),recognize,recognise,thank (generic term),give thanks (generic term),,,
126,acknowledge,6,(verb),accept (generic term),,,,,,
127,acknowledge,6,(verb),recognize,recognise,know,accept (generic term),,,
128,acquire,7,(verb),get,,,,,,
129,acquire,7,(verb),assume,adopt,take on,take,change (generic term),,
130,acquire,7,(verb),grow,develop,produce,get,change (generic term),,
131,acquire,7,(verb),situate (generic term),locate (generic term),,,,,
132,acquire,7,(verb),win,gain,get (generic term),acquire (generic term),lose (antonym),,
133,acquire,7,(verb),learn,larn,,,,,
134,acquire,7,(verb),develop,evolve,change (generic term),,,,
135,across,1,(adv),crosswise,crossways,,,,,
136,act,14,(noun),enactment,legal document (generic term),legal instrument (generic term),official document (generic term),instrument (generic term),,
137,act,14,(noun),human action,human activity,event (generic term),,,,
138,act,14,(noun),dramatic composition (generic term),dramatic work (generic term),,,,,
139,act,14,(noun),routine,number,turn,bit,performance (generic term),public presentation (generic term),
140,act,14,(noun),expression (generic term),manifestation (generic term),reflection (generic term),reflexion (generic term),,,
141,act,14,(verb),move,act on (related term),act up (related term),act upon (related term),refrain (antonym),,
142,act,14,(verb),behave,do,act up (related term),,,,
143,act,14,(verb),play,represent,re-create (generic term),,,,
144,act,14,(verb),serve (generic term),,,,,,
145,act,14,(verb),play,act as,act (generic term),behave (generic term),do (generic term),,
146,act,14,(verb),be (generic term),,,,,,
147,act,14,(verb),work,succeed (generic term),win (generic term),come through (generic term),bring home the bacon (generic term),deliver the goods (generic term),
148,act,14,(verb),dissemble,pretend,,,,,
149,act,14,(verb),play,roleplay,playact,perform (generic term),,,
150,action,12,(noun),act (generic term),human action (generic term),human activity (generic term),,,,
151,action,12,(noun),activity,activeness,state (generic term),inactiveness (antonym),inactivity (antonym),inaction (antonym),
152,action,12,(noun),legal action,action at law,proceeding (generic term),legal proceeding (generic term),proceedings (generic term),,
153,action,12,(noun),group action (generic term),,,,,,
154,action,12,(noun),military action,group action (generic term),,,,,
155,action,12,(noun),natural process,natural action,activity,process (generic term),physical process (generic term),,
156,action,12,(noun),plot (generic term),,,,,,
157,action,12,(noun),action mechanism,mechanism (generic term),,,,,
158,action,12,(noun),drive (generic term),,,,,,
159,action,12,(noun),work (generic term),,,,,,
160,action,12,(verb),sue,litigate,process,challenge (generic term),,,
161,action,12,(verb),carry through,accomplish,execute,carry out,fulfill,fulfil,
162,active,17,(adj),progressive (similar term),inactive (antonym),,,,,
163,active,17,(adj),combat-ready,fighting,operational (similar term),,,,
164,active,17,(adj),activist (similar term),activistic (similar term),hands-on (similar term),proactive (similar term),passive (antonym),,
165,active,17,(adj),participating,involved (similar term),,,,,
166,active,17,(adj),about (similar term),astir (similar term),acrobatic (similar term),athletic (similar term),gymnastic (similar term),agile (similar term),
167,active,17,(adj),activated (similar term),counteractive (similar term),surface-active (similar term),inactive (antonym),,,
168,active,17,(adj),brisk (similar term),bustling (similar term),busy (similar term),going (similar term),open (similar term),springy (similar term),
169,active,17,(adj),alive,existent (similar term),existing (similar term),,,,
170,active,17,(adj),quiet (antonym),,,,,,
171,active,17,(adj),passive (antonym),,,,,,
172,active,17,(adj),dynamic,stative (antonym),,,,,
173,active,17,(adj),alive (similar term),live (similar term),live (related term),extinct (antonym),,,
174,active,17,(adj),eruptive (similar term),dormant (antonym),,,,,
175,active,17,(adj),activated (similar term),inactive (antonym),,,,,
176,active,17,(noun),active agent,chemical agent (generic term),,,,,
177,active,17,(noun),active voice,voice (generic term),passive voice (antonym),,,,
178,active,17,(noun),person (generic term),individual (generic term),someone (generic term),somebody (generic term),mortal (generic term),soul (generic term),
179,activist,2,(adj),activistic,active (similar term),,,,,
180,activist,2,(noun),militant,reformer (generic term),reformist (generic term),crusader (generic term),social reformer (generic term),meliorist (generic term),
181,activity,6,(noun),act (generic term),human action (generic term),human activity (generic term),inactivity (antonym),,,
182,activity,6,(noun),action,activeness,state (generic term),inactiveness (antonym),inactivity (antonym),inaction (antonym),
183,activity,6,(noun),bodily process,body process,bodily function,organic process (generic term),biological process (generic term),,
184,activity,6,(noun),capability (generic term),capacity (generic term),,,,,
185,activity,6,(noun),natural process,natural action,action,process (generic term),physical process (generic term),,
186,activity,6,(noun),activeness,trait (generic term),inactiveness (antonym),,,,
187,actor,2,(noun),histrion,player,thespian,role player,performer (generic term),performing artist (generic term),
188,actor,2,(noun),doer,worker,person (generic term),individual (generic term),someone (generic term),somebody (generic term),
189,actress,1,(noun),actor (generic term),histrion (generic term),player (generic term),thespian (generic term),role player (generic term),,
190,actual,6,(adj),existent,actualized (similar term),actualised (similar term),effective (similar term),potential (antonym),,
191,actual,6,(adj),real (similar term),existent (similar term),,,,,
192,actual,6,(adj),genuine,literal,real,true (similar term),,,
193,actual,6,(adj),factual,real (similar term),existent (similar term),,,,
194,actual,6,(adj),de facto,factual,de jure (antonym),,,,
195,actual,6,(adj),current (similar term),,,,,,
196,actually,2,(adv),really,,,,,,
197,actually,2,(adv),in reality,,,,,,
198,ad,2,(noun),advertisement,advertizement,advertising,advertizing,advert,promotion (generic term),
199,ad,2,(adv),AD,A.D.,anno Domini,,,,
200,adapt,2,(verb),accommodate,change (generic term),alter (generic term),vary (generic term),,,
201,adapt,2,(verb),adjust,conform,change (generic term),,,,
202,add,7,(noun),attention deficit disorder,ADD,attention deficit hyperactivity disorder,ADHD,hyperkinetic syndrome,minimal brain dysfunction,
203,add,7,(verb),increase (generic term),take away (antonym),,,,,
